Developer;Název projektu;Odkaz na web;Počet jednotek
Boutiq Development;Karleen;https://cms.realpad.eu;1
GP Plus;Rodinné domy Kateřinky;;12
Aurora Real Invest;Rezidence Barchovická;;6
BAK Development;Rezidence Nové domy;;6
Dobrá realitka;Rezidence Plzeňská 78;;12
PSN;Bydlení u pekáren;https://psn.cz;22
Bidli;Villa Toužimská;;15
Výstavba RD Březiněves;Greenland Březiněves I;;16
BPD Development;Na pramenech;;24
ČSNF SICAV;Rodinné domy Kolovraty;https://rezidencekolovraty.cz;25
Doma je Doma;Evergreen - domy;https://www.evergreen-praha.cz;19
Zdiměřická;City park home;http://www.cphome.cz;35
Nikmar Invest;Slaviborský dvůr;https://www.bydlenitrebo.cz;19
Fyzická osoba;Rezidence Hlušičkova;https://www.hlusickovarezidence.cz;3
Výstavba RD Březiněves;Greenland Březiněves II;https://greenland-brezineves.cz;27
Tercal;U Nebušického potoku;;6
Prague Classic Development;Nové Miškovice 1A - Domy;https://novemiskovice.cz;20
První Chodská Develop;Nové byty v Chrášťanech;https://chrastany.chodskadevelop.cz;23
RN Development;Vila Rokoska;;13
Metrostav Development;Byty u parku na Vackově;https://byty.navackove.cz;272
Sun Villas;Vily Řeporyje;;9
Výstavba RD Březiněves;Greenland Březiněves III;;27
GI Developers;Prokopská brána;;7
EKOSPOL;Ekocity Hostivař - dům E;;126
SUGAR HILL REZIDENCE;Rezidence Sugar Hill;;6
CPI Property Group;Rezidence Malkovského;https://www.cpirezidence.cz;59
Landia Management;Zátiší Lysolaje - domy;;57
QN DOMOV;Viladomy Třešňová;https://qndomov.cz;7
Nikmar Invest;Slaviborský dvůr - domy;https://www.bydlenitrebo.cz;6
GENOMA;Turnovská 8;;25
MS Invest;Žižkovské pavlače;;1
CRESTYL real estate;Ke dvoru;;5
NOVÉ KRÁLOVICE;Nové Královice III;https://www.novekralovice.cz;29
MS Invest;Rodinné domy Satalice;;46
MS Invest;Bydlení Kutnohorská - domy;https://domy.bydlenikutnohorska.cz;32
ČSNF SICAV;Rezidence u mlýna;https://rezidenceumlyna.cz;19
Maverick Group;Rezidence Prokopka;;14
Mercator;Průběžná 28;https://www.realpartners.cz;11
KONHEFR Počernice;Konhefrovy domy;https://konhefrovydomy.cz;33
MS Invest;Rodinné domy Letňany;;30
Skanska Residential;Albatros Kbely 3;https://residential.skanska.cz;33
YIT CZ;Parvi Cibulka;;35
VIVUS;Vivus Uhříněves V;https://vivus.cz;219
City Home;Ke Koulce 6;https://www.city-home.cz;10
Na Baních;Řadové domy Na Baních;https://dum-nabanich.cz;6
MS Invest;Rezidence Chodovec - domy;https://rezidencechodovec.cz;6
PSN;Bydlení Sinkulova;https://bydlenisinkulova.cz;19
Skanska Residential;Albatros Kbely 2;;9
Prague Be Nice;Be nice;;8
MS Invest;Rodinné domy Ruzyně;;20
Natland Real Estate;Prague city golf apartments;;7
EKOSPOL;Výhledy Barrandov II A+B;;151
Gartal;Maison 1832 Lofts;https://gartal.cz;13
CENTRAL GROUP;Harfa Living - B;;244
Bytový dům Oldřichova 53;Oldřichova 53;;9
Skanska Residential;Albatros Kbely 1;https://residential.skanska.cz;1
Landia Management;Zahradní čtvrť Kyje II.;https://www.zahradnictvrtkyje.cz;19
KAPRAIN Development;Zelený Chodovec - domy;;10
Doma je Doma;ŘD Evergreen+;;6
ČSNF SICAV;Rezidence Kolovraty;;64
V Zahradách 19;V zahradách 19;https://vzahradach19.cz;20
Bydlení Ďáblice;RD Ďáblice I.;https://rddablice.cz;17
Lhotka Living;Lhotka living;;54
Gartal;Signature Kolovraty;;12
EKOSPOL;Ekocity Hostivař - dům D;;125
Byty Jahodnice;Byty Jahodnice;https://www.bytyjahodnice.cz;42
K Vilkám;Mezi vilkami;https://www.mezivilkami.cz;3
Výstavba RD Březiněves;Greenland Březiněves IV;;32
MS Invest;Byty Laudova;;19
Top Estates Group;Barrandez-vous I;;173
PSN;Myslbekova 15;https://myslbekova.cz;10
PSN;Bydlení Hanusova;https://www.bydlenihanusova.cz;18
ED Group;RD u Hostivařské přehrady;https://www.hostivarska-prehrada.cz;5
INOFEOS;Průhonické panství;https://www.inofeos.cz;3
Konhefr;Domy Bílý Vrch;https://www.domybilyvrch.cz;35
IMMO Building;Bydlení Kbeličky;;46
Metrostav Development;Malešický háj;;107
MS Invest;Domy Ďáblická hvězdárna;;24
JURIS REAL Living;RD Štěrboholy II.;https://www.jrliving.cz;25
PMS;Nové byty Sobín;;38
CENTRAL GROUP;Viladomy Letňany;;18
SATPO;Dům HORNÍ 9;;4
LIPNICKÁ DEVELOP;Areál rajská zahrada - Čihadla II;;9
FINEP CZ;Malý háj XII;https://www.finep.cz;51
PSN;Družstevní Ochoz;https://www.druzstevniochoz.cz;10
Landia Management;Zátiší Lysolaje;;8
Real Luxembourg;Husitská 60;https://www.husitska60.cz;11
Skanska Residential;Albatros Kbely 4;https://residential.skanska.cz;66
Bidli;Byty Brejchovna;https://bytybrejchovna.cz;4
City Home;Žateckých 14;;3
Bytový dům Hofbauerova;Byty Hofbauerova;https://www.bytyhofbauerova.cz;44
Gartal;Zelené Kaskády;https://gartal.cz;84
FINEP CZ;Rezidence u Šárky VI;;42
Skanska Residential;Čtvrť Emila Kolbena 2;https://residential.skanska.cz;1
Neocity;Veni Vidi Vinoř - domy;https://www.vidivinor.cz;8
FINEP CZ;Kaskády Barrandov XVIII;https://www.finep.cz;37
Rezidence nad Berounkou;Rezidence nad Berounkou;https://rezidence-nad-berounkou.cz;30
Skanska Residential;Čtvrť Emila Kolbena - Alfred;https://residential.skanska.cz;98
Czech Buildings;Melounová;https://www.czechbuildings.cz;2
DOMY POD LÍPOU;Domy pod Lípou;;16
SAS GLOBAL DEVELOPMENTS;Rezidence Křišťanova;https://www.kristanova9.cz;15
Neocity;SBH Living;;69
Květnice Real;Rodinné domy Hlušičkova;https://rdhlusickova.cz;6
BRETTON ING;Řadové rodinné domy Písnice - Ke Kašně;;9
CPI Property Group;Kolbenova park - C;https://klbnvpark.cz;245
City Home;Slezská 75;;15
FINEP CZ;Rezidence u Šárky IV;;5
ČSNF SICAV;Lofty Letná (Praha);;3
Skanska Residential;Modřanský cukrovar 1;https://residential.skanska.cz;37
CREDITAS Real Estate Management;Jinonický dvůr 2.etapa;https://www.creditasre.cz;49
CENTRAL GROUP;Rezidenční čtvrť Tesla Hloubětín EFGH;;358
FINEP CZ;Harfa Park IX;https://www.finep.cz;5
FINEP CZ;Kaskády Barrandov XIX;;138
FINEP CZ;Malý háj X;https://www.finep.cz;15
FINEP CZ;Rezidence u Šárky VIII;https://www.finep.cz;36
FINEP CZ;Rezidence u Šárky IX;https://www.finep.cz;31
EKOSPOL;Výhledy Barrandov II C+D;;153
VIVUS;Vivus Kolbenova I;https://vivus.cz;251
Doma je Doma;Evergreen - byty;;57
VIVUS;Vivus Kolbenova II;https://www.vivus.cz;165
FINEP CZ;Malý háj XI;;16
FINEP CZ;Byty nad Krocínkou III;https://www.finep.cz;109
FINEP CZ;Byty Nad Krocínkou II;https://www.finep.cz;72
YIT CZ;Ranua;https://www.yit.cz;25
Esty;Rezidence Odra;https://odrarezidence.cz;88
Mint Investment;Alfa Residence;https://www.alfaresidence.cz;76
FINEP CZ;Kaskády Barrandov XVII;https://www.finep.cz;20
Prague Classic Development;Nové Miškovice 1A - Byty;https://novemiskovice.cz;15
CANABA Development;Greenside;;128
YIT CZ;Vesi Hostivař;https://www.yit.cz;108
Pražské Rezidence;Rezidence Černokostelecká 6;;25
CENTRAL GROUP;Rezidenční čtvrť Tesla Hloubětín ABCD;;136
FINEP CZ;Byty Nad Krocínkou I;https://www.finep.cz;49
PSN;Žít Braník;;57
PSN;Na Petynce;;5
PSN;Jeseniova 93;https://psn.cz;50
Rezidence Danielova;Rezidence Danielova;https://rezidencedanielova.cz;22
JRD Development;Vital Kamýk;https://www.jrd.cz;60
Skanska Residential;Habitat;https://residential.skanska.cz;124
Rezidence Stříbrná zahrada;Rezidence Stříbrná zahrada;;28
EKOSPOL;Ekocity Hostivař - dům C;;192
Villa domy Újezd;Viladomy Újezd;https://www.viladomy-ujezd.cz;30
CENTRAL GROUP;U Hostivařské přehrady;;213
ED Group;Rezidence Michelský Park;;11
Naevia Group;Rezidence Točná;;12
CoreStone;Rezidence Horní Stromka;https://www.corestone.cz;2
FINEP CZ;Malý háj XIV;https://www.finep.cz;20
EXAFIN;Vista Troja;https://www.vistatroja.cz;51
VIVUS;Vivus golf resort;https://www.vivus.cz;196
InterCora Stodůlky;Vily Stodůlky Jih;https://www.vilystodulky.cz;10
SYNER / Kaprain;Byty Letnian;https://letnian.cz;144
Natland Real Estate;Na Viktorce;https://www.natlandre.cz;8
Lexxus Norton;Rezidence U Tvrze;;9
CENTRAL GROUP;Výhledy Chodovec;;102
PSN;Skyline Chodov;https://skylinechodov.cz;186
CENTRAL GROUP;Viladomy Pitkovice IJKLMNO;;168
YIT CZ;Happi Milánská;https://www.yit.cz;64
Sekyra Group;Rezidence Čakovice D;;75
Sekyra Group;Rezidence Čakovice B;;62
KKCG Real Estate Group;Top Rezidence Pomezí;;38
Skanska Residential;Modřanský cukrovar 2;https://residential.skanska.cz;115
KKCG Real Estate Group;Bydlení META Lofts;;183
EDIFICE Poděbradská;Poděbradská 52;;3
Exclusive Properties;Bílá skála;https://www.bilaskala.ep.cz;11
Venus Investment Group;Rezidence v údolí;https://www.rezidence-udoli.cz;21
Civilista Development;Domy v Dubči;https://www.domyvdubci.cz;8
SMV Invest;Statek Přední Kopanina;https://www.statekprednikopanina.cz;25
DMG Stav;Rezidence Spojovací;;40
JRD Development;Green port Strašnice;;146
CENTRAL GROUP;Viladomy Počernice;;164
City Home;Na Václavce;https://www.city-home.cz;19
Realitní fond Praha;Rezidence Milíčova;;25
R-Credit;Rezidence Wiesenthalova;https://wiesenthalova.cz;10
FINEP CZ;Kaskády Barrandov XX;https://www.finep.cz;87
Mira Petrovice;Mira Petrovice;https://www.mirapetrovice.cz;46
CONTI Development;Sky City Villas I;;2
T.L.S Michle;Rezidence Kapitol;https://www.google.com;12
