sort_priority;Group;Entity;column;Alias;Zobrazit na webu;Filterable;Editable;unit_label;decimals;display_format;percent_scale

1001;Cena;Jednotka;price;Cena;ANO;ANO;NE;Kč;0;currency;
1002;Cena;Jednotka;price_per_sm;Cena m²;ANO;ANO;NE;Kč/m²;0;currency_per_m2;
1003;Cena;Jednotka;price_change;Změna ceny;ANO;ANO;NE;%;0;percent;fraction
1004;Cena;Jednotka;original_price;Původní cena;ANO;NE;NE;Kč;0;currency;
1005;Cena;Jednotka;original_price_per_sm;Původní cena m²;ANO;NE;NE;Kč/m²;0;currency_per_m2;
1006;Cena;Projekt;min_parking_outdoor_price_czk;Cena stání (od);ANO;NE;ANO;Kč;0;currency;
1007;Cena;Projekt;max_parking_outdoor_price_czk;Cena stání (do);ANO;NE;ANO;Kč;0;currency;
1008;Cena;Projekt;min_parking_indoor_price_czk;Cena garáže (od);ANO;NE;ANO;Kč;0;currency;
1009;Cena;Projekt;max_parking_indoor_price_czk;Cena garáže (do);ANO;NE;ANO;Kč;0;currency;
1010;Cena;Projekt;total_units;Počet jednotek;ANO;NE;NE;;0;integer;
1011;Cena;Projekt;available_units;Dostupných jednotek;ANO;NE;NE;;0;integer;
1012;Cena;Projekt;availability_ratio;Podíl dostupných;ANO;NE;NE;;0;percent;fraction
1013;Cena;Projekt;avg_price_czk;Prům. cena;ANO;NE;NE;Kč;0;currency;
1014;Cena;Projekt;avg_price_per_m2_czk;Prům. cena m²;ANO;NE;NE;Kč/m²;0;currency_per_m2;
1015;Cena;Projekt;min_price_czk;Min. cena;ANO;NE;NE;Kč;0;currency;
1016;Cena;Projekt;max_price_czk;Max. cena;ANO;NE;NE;Kč;0;currency;
1017;Cena;Projekt;avg_floor_area_m2;Prům. plocha m²;ANO;NE;NE;m²;1;area_m2;

2001;Lokalita;Projekt;municipality;Obec;ANO;ANO;NE;;;enum_search;
2002;Lokalita;Projekt;city;Město;ANO;ANO;NE;;;enum_search;
2003;Lokalita;Projekt;district;Okres;ANO;ANO;NE;;;enum_search;
2004;Lokalita;Projekt;administrative_district_iga;Obvod Prahy;ANO;ANO;ANO;;;enum;
2005;Lokalita;Projekt;cadastral_area_iga;Katastrální území;ANO;ANO;ANO;;;enum;
2006;Lokalita;Projekt;ride_to_center;Autem do centra;ANO;ANO;NE;min;0;duration_minutes;
2007;Lokalita;Projekt;public_transport_to_center;MHD do centra;ANO;ANO;NE;min;0;duration_minutes;
2008;Lokalita;Projekt;region_iga;Kraj;ANO;ANO;NE;;;enum;
2009;Lokalita;Projekt;address;Adresa;ANO;NE;NE;;;text;

3001;Dispozice;Jednotka;layout;Dispozice;ANO;ANO;NE;;;enum;
3002;Dispozice;Jednotka;floor_area;Podlahová plocha;ANO;ANO;NE;m²;1;area_m2;
3003;Dispozice;Jednotka;total_area;Celková plocha;ANO;ANO;NE;m²;1;area_m2;
3004;Dispozice;Jednotka;equivalent_area;;NE;NE;NE;m²;1;area_m2;
3005;Dispozice;Jednotka;exterior_area;Venek;ANO;ANO;NE;m²;1;area_m2;
3006;Dispozice;Jednotka;balcony_area;Balkon;ANO;ANO;ANO;m²;1;area_m2;
3007;Dispozice;Jednotka;terrace_area;Terasa;ANO;ANO;ANO;m²;1;area_m2;
3008;Dispozice;Jednotka;garden_area;Zahrada;ANO;ANO;ANO;m²;1;area_m2;
3009;Dispozice;Jednotka;floor;Podlaží;ANO;ANO;NE;;0;integer;
3010;Dispozice;Projekt;floors;Podlaží (budovy);ANO;NE;NE;;0;integer;
3011;Dispozice;Jednotka;orientation;Orientace;ANO;ANO;ANO;;;enum;
3012;Dispozice;Projekt;category;Kategorie;ANO;ANO;NE;;;enum;

4001;Stav;Jednotka;availability;Stav;ANO;ANO;NE;;;enum;
4002;Stav;Projekt;max_days_on_market;Dní na trhu;ANO;NE;NE;;0;integer;
4003;Stav;Projekt;project_first_seen;První výskyt;ANO;NE;NE;;;date;
4004;Stav;Projekt;project_last_seen;Poslední výskyt;ANO;NE;NE;;;date;
4005;Stav;Projekt;sold_date;Datum prodeje;ANO;NE;NE;;;date;
4006;Stav;Projekt;renovation;Rekonstrukce;ANO;ANO;NE;;;boolean;

5001;Standardy;Projekt;overall_quality;Kvalita;ANO;ANO;ANO;;;enum;
5002;Standardy;Jednotka;heating;Topení;ANO;ANO;ANO;;;enum;
5003;Standardy;Jednotka;air_conditioning;Klimatizace;ANO;ANO;ANO;;;boolean;
5004;Standardy;Jednotka;cooling_ceilings;Chlazení stropem;ANO;ANO;ANO;;;boolean;
5005;Standardy;Jednotka;exterior_blinds;Žaluzie;ANO;ANO;ANO;;;boolean;
5006;Standardy;Jednotka;smart_home;Smart home;ANO;ANO;ANO;;;boolean;
5007;Standardy;Projekt;windows;Okna;ANO;ANO;ANO;;;enum;
5008;Standardy;Projekt;partition_walls;Příčky;ANO;ANO;ANO;;;enum;
5009;Standardy;Projekt;amenities;Zajímavosti;ANO;NE;ANO;;;text;

6001;Projekt;Projekt;project;Projekt;ANO;ANO;NE;;;enum_search;
6002;Projekt;Projekt;developer;Developer;ANO;ANO;NE;;;enum_search;
6003;Projekt;Projekt;project_url;Odkaz na projekt;ANO;NE;ANO;;;url;

7001;Financování;Projekt;min_payment_contract;Platba po SOSBK (od);ANO;ANO;ANO;%;0;percent;fraction
7002;Financování;Projekt;max_payment_contract;Platba po SOSBK (do);ANO;ANO;ANO;%;0;percent;fraction
7003;Financování;Projekt;min_payment_construction;Platba při výstavbě (od);ANO;ANO;ANO;%;0;percent;fraction
7004;Financování;Projekt;max_payment_construction;Platba při výstavbě (do);ANO;ANO;ANO;%;0;percent;fraction
7005;Financování;Projekt;min_payment_occupancy;Platba po dokončení (od);ANO;ANO;ANO;%;0;percent;fraction
